Line,Day,JourneyNumber,DepartureStation,ArrivalStation,ExpectedDepartureTime,ExpectedArrivalTime,RealDepartureTime,RealArrivalTime
14,1,20507,Bergshamra,Tekniska högskolan,2023-04-18 16:08:30,2023-04-18 16:14:30,2023-04-18 16:09:23,2023-04-18 16:16:03
14,1,20143,Tekniska högskolan,Bergshamra,2023-04-18 16:05:00,2023-04-18 16:10:00,2023-04-18 16:05:39,2023-04-18 16:10:31
14,1,20508,Bergshamra,Tekniska högskolan,2023-04-18 16:13:30,2023-04-18 16:19:30,2023-04-18 16:14:23,2023-04-18 16:20:00
14,1,20963,Tekniska högskolan,Bergshamra,2023-04-18 16:10:00,2023-04-18 16:15:00,2023-04-18 16:10:40,2023-04-18 16:15:51
14,1,20509,Bergshamra,Tekniska högskolan,2023-04-18 16:18:30,2023-04-18 16:24:30,2023-04-18 16:18:50,2023-04-18 16:26:13
14,1,20144,Tekniska högskolan,Bergshamra,2023-04-18 16:15:00,2023-04-18 16:20:00,2023-04-18 16:15:00,2023-04-18 16:20:00
14,1,20510,Bergshamra,Tekniska högskolan,2023-04-18 16:23:30,2023-04-18 16:29:30,2023-04-18 16:24:22,2023-04-18 16:30:09
14,1,20145,Tekniska högskolan,Bergshamra,2023-04-18 16:20:00,2023-04-18 16:25:00,2023-04-18 16:22:28,2023-04-18 16:28:27
14,1,20511,Bergshamra,Tekniska högskolan,2023-04-18 16:28:30,2023-04-18 16:34:30,2023-04-18 16:29:22,2023-04-18 16:34:30
14,1,20512,Bergshamra,Tekniska högskolan,2023-04-18 16:33:30,2023-04-18 16:39:30,2023-04-18 16:33:50,2023-04-18 16:39:30
14,1,20513,Bergshamra,Tekniska högskolan,2023-04-18 16:38:30,2023-04-18 16:44:30,2023-04-18 16:38:50,2023-04-18 16:44:30
14,1,20146,Tekniska högskolan,Bergshamra,2023-04-18 16:25:00,2023-04-18 16:30:00,2023-04-18 16:36:28,2023-04-18 16:39:56
14,1,20514,Bergshamra,Tekniska högskolan,2023-04-18 16:43:30,2023-04-18 16:49:30,2023-04-18 16:43:30,2023-04-18 16:49:30
14,1,20147,Tekniska högskolan,Bergshamra,2023-04-18 16:30:00,2023-04-18 16:35:00,2023-04-18 16:41:04,2023-04-18 16:43:57
14,1,20149,Tekniska högskolan,Bergshamra,2023-04-18 16:40:00,2023-04-18 16:45:00,2023-04-18 16:40:00,2023-04-18 16:45:00
14,1,20515,Bergshamra,Tekniska högskolan,2023-04-18 16:48:30,2023-04-18 16:54:30,2023-04-18 16:48:30,2023-04-18 16:54:30
14,1,20150,Tekniska högskolan,Bergshamra,2023-04-18 16:45:00,2023-04-18 16:50:00,2023-04-18 16:45:00,2023-04-18 16:50:00
14,1,20516,Bergshamra,Tekniska högskolan,2023-04-18 16:53:30,2023-04-18 16:59:30,2023-04-18 16:53:30,2023-04-18 16:59:30
14,1,20148,Tekniska högskolan,Bergshamra,2023-04-18 16:35:00,2023-04-18 16:40:00,2023-04-18 16:48:51,2023-04-18 16:54:12
14,1,28995,Tekniska högskolan,Bergshamra,2023-04-18 16:40:29,2023-04-18 16:45:29,2023-04-18 16:40:29,2023-04-18 16:45:29
14,1,28994,Tekniska högskolan,Bergshamra,2023-04-18 16:45:58,2023-04-18 16:50:58,2023-04-18 16:47:42,2023-04-18 16:52:58
