,RequestTime,StartingStation,EndingStation,ModelOld,ModelDelay,ModelDelay50,ModelDelay90,Value_ModelOld,Value_ModelDelay,Value_ModelDelay50,Value_ModelDelay90
226,1900-01-01 16:18:04,Tekniska högskolan,Fridhemsplan,1900-01-01 16:45:30,1900-01-01 16:45:30,1900-01-01 16:45:30,1900-01-01 16:45:30,True,True,True,True
227,1900-01-01 07:27:54,Tekniska högskolan,Fridhemsplan,1900-01-01 07:54:11,1900-01-01 07:54:11,1900-01-01 07:54:11,1900-01-01 07:54:11,True,True,True,True
228,1900-01-01 07:14:36,Solna Centrum,Globen,1900-01-01 07:54:00,1900-01-01 07:54:00,1900-01-01 07:54:00,1900-01-01 07:54:00,True,True,True,True
229,1900-01-01 16:30:31,Tekniska högskolan,Fridhemsplan,1900-01-01 17:09:00,1900-01-01 17:09:00,1900-01-01 17:09:00,1900-01-01 17:09:00,True,True,True,True
230,1900-01-01 16:24:09,Tekniska högskolan,Solna Centrum,1900-01-01 16:59:05,1900-01-01 16:59:05,1900-01-01 16:59:05,1900-01-01 16:59:05,True,True,True,True
231,1900-01-01 16:11:57,Tekniska högskolan,Solna Centrum,1900-01-01 16:44:45,1900-01-01 16:44:45,1900-01-01 16:44:45,1900-01-01 16:44:45,True,True,True,True
232,1900-01-01 17:24:04,Fridhemsplan,Tekniska högskolan,1900-01-01 17:54:55,1900-01-01 17:54:55,1900-01-01 17:54:55,1900-01-01 17:54:55,True,True,True,True
233,1900-01-01 07:43:15,Globen,Solna Centrum,1900-01-01 08:21:15,1900-01-01 08:21:15,1900-01-01 08:21:15,1900-01-01 08:21:15,True,True,True,True
234,1900-01-01 08:30:53,Solna Centrum,Globen,1900-01-01 09:16:30,1900-01-01 09:16:30,1900-01-01 09:16:30,1900-01-01 09:16:30,True,True,True,True
235,1900-01-01 07:06:05,Globen,Solna Centrum,1900-01-01 07:45:45,1900-01-01 07:45:45,1900-01-01 07:45:45,1900-01-01 07:45:45,True,True,True,True
236,1900-01-01 16:28:15,Fridhemsplan,Tekniska högskolan,1900-01-01 16:57:41,1900-01-01 16:55:48,1900-01-01 16:55:48,1900-01-01 16:57:41,True,True,True,True
237,1900-01-01 08:39:26,Tekniska högskolan,Fridhemsplan,1900-01-01 09:04:41,1900-01-01 09:04:41,1900-01-01 09:04:41,1900-01-01 09:04:41,True,True,True,True
238,1900-01-01 17:56:48,Solna Centrum,Tekniska högskolan,,,,,True,False,False,False
239,1900-01-01 16:42:15,Solna Centrum,Tekniska högskolan,1900-01-01 17:21:35,1900-01-01 17:24:30,1900-01-01 17:21:35,1900-01-01 17:21:35,True,True,True,True
240,1900-01-01 08:57:42,Tekniska högskolan,Fridhemsplan,,,,,True,False,False,False
241,1900-01-01 16:26:44,Tekniska högskolan,Solna Centrum,1900-01-01 16:59:05,1900-01-01 16:59:05,1900-01-01 16:59:05,1900-01-01 16:59:05,True,True,True,True
242,1900-01-01 16:24:04,Fridhemsplan,Tekniska högskolan,1900-01-01 16:57:41,1900-01-01 16:50:59,1900-01-01 16:50:59,1900-01-01 16:57:41,True,True,True,True
243,1900-01-01 08:25:46,Fridhemsplan,Tekniska högskolan,1900-01-01 08:56:00,1900-01-01 08:56:00,1900-01-01 08:56:00,1900-01-01 08:56:00,True,True,True,True
244,1900-01-01 08:25:09,Solna Centrum,Tekniska högskolan,1900-01-01 08:59:30,1900-01-01 08:59:30,1900-01-01 08:59:30,1900-01-01 09:05:00,True,True,True,True
245,1900-01-01 17:52:48,Fridhemsplan,Tekniska högskolan,,,,,True,False,False,False
246,1900-01-01 08:44:55,Tekniska högskolan,Fridhemsplan,1900-01-01 09:12:13,1900-01-01 09:12:13,1900-01-01 09:12:13,1900-01-01 09:12:13,True,True,True,True
247,1900-01-01 16:12:23,Tekniska högskolan,Fridhemsplan,1900-01-01 16:38:41,1900-01-01 16:38:41,1900-01-01 16:38:41,1900-01-01 16:38:41,True,True,True,True
248,1900-01-01 16:34:08,Tekniska högskolan,Solna Centrum,1900-01-01 17:05:45,1900-01-01 17:05:45,1900-01-01 17:05:45,1900-01-01 17:05:45,True,True,True,True
249,1900-01-01 16:06:49,Tekniska högskolan,Solna Centrum,1900-01-01 16:44:45,1900-01-01 16:44:45,1900-01-01 16:44:45,1900-01-01 16:44:45,True,True,True,True
250,1900-01-01 16:20:05,Tekniska högskolan,Solna Centrum,1900-01-01 16:59:05,1900-01-01 17:02:25,1900-01-01 17:02:25,1900-01-01 17:02:25,True,True,True,True
251,1900-01-01 08:50:10,Globen,Solna Centrum,,,,,True,False,False,False
252,1900-01-01 16:47:01,Solna Centrum,Globen,1900-01-01 17:25:15,1900-01-01 17:25:15,1900-01-01 17:25:15,1900-01-01 17:25:15,True,True,True,True
253,1900-01-01 17:43:26,Tekniska högskolan,Fridhemsplan,1900-01-01 18:09:41,1900-01-01 18:09:41,1900-01-01 18:09:41,1900-01-01 18:09:41,True,True,True,True
254,1900-01-01 17:47:17,Globen,Solna Centrum,,,,,True,False,False,False
255,1900-01-01 08:29:39,Solna Centrum,Globen,1900-01-01 09:07:30,1900-01-01 09:07:30,1900-01-01 09:07:30,1900-01-01 09:07:30,True,True,True,True
256,1900-01-01 08:24:31,Tekniska högskolan,Fridhemsplan,1900-01-01 08:58:50,1900-01-01 08:55:22,1900-01-01 08:55:22,1900-01-01 08:55:22,True,True,True,True
257,1900-01-01 07:16:40,Globen,Solna Centrum,1900-01-01 08:00:15,1900-01-01 08:00:15,1900-01-01 08:00:15,1900-01-01 08:00:15,True,True,True,True
258,1900-01-01 08:46:14,Tekniska högskolan,Fridhemsplan,1900-01-01 09:13:41,1900-01-01 09:13:41,1900-01-01 09:13:41,1900-01-01 09:13:41,True,True,True,True
259,1900-01-01 07:12:35,Globen,Solna Centrum,1900-01-01 07:53:15,1900-01-01 07:53:15,1900-01-01 07:53:15,1900-01-01 07:53:15,True,True,True,True
260,1900-01-01 16:07:03,Globen,Solna Centrum,1900-01-01 16:44:57,1900-01-01 16:44:57,1900-01-01 16:44:57,1900-01-01 16:44:57,True,True,True,True
261,1900-01-01 08:02:05,Solna Centrum,Tekniska högskolan,1900-01-01 08:35:30,1900-01-01 08:35:30,1900-01-01 08:35:30,1900-01-01 08:35:30,True,True,True,True
262,1900-01-01 08:06:33,Fridhemsplan,Tekniska högskolan,1900-01-01 08:35:30,1900-01-01 08:35:30,1900-01-01 08:35:30,1900-01-01 08:35:30,True,True,True,True
263,1900-01-01 07:00:09,Tekniska högskolan,Fridhemsplan,1900-01-01 07:27:30,1900-01-01 07:27:30,1900-01-01 07:27:30,1900-01-01 07:25:43,True,True,True,True
264,1900-01-01 17:35:00,Fridhemsplan,Tekniska högskolan,1900-01-01 18:02:10,1900-01-01 18:02:10,1900-01-01 18:02:10,1900-01-01 18:02:10,True,True,True,True
265,1900-01-01 08:36:59,Tekniska högskolan,Fridhemsplan,1900-01-01 09:04:41,1900-01-01 09:04:41,1900-01-01 09:04:41,1900-01-01 09:04:41,True,True,True,True
266,1900-01-01 16:39:05,Solna Centrum,Tekniska högskolan,1900-01-01 17:10:19,1900-01-01 17:10:19,1900-01-01 17:10:19,1900-01-01 17:10:19,True,True,True,True
267,1900-01-01 16:13:08,Fridhemsplan,Tekniska högskolan,1900-01-01 16:40:03,1900-01-01 16:40:03,1900-01-01 16:40:03,1900-01-01 16:40:03,True,True,True,True
268,1900-01-01 17:45:22,Fridhemsplan,Tekniska högskolan,1900-01-01 18:12:15,1900-01-01 18:12:15,1900-01-01 18:12:15,1900-01-01 18:12:15,True,True,True,True
269,1900-01-01 08:21:13,Tekniska högskolan,Fridhemsplan,1900-01-01 08:47:58,1900-01-01 08:47:58,1900-01-01 08:47:58,1900-01-01 08:47:58,True,True,True,True
270,1900-01-01 08:36:19,Tekniska högskolan,Fridhemsplan,1900-01-01 09:04:41,1900-01-01 09:04:41,1900-01-01 09:04:41,1900-01-01 09:04:41,True,True,True,True
271,1900-01-01 16:48:39,Globen,Solna Centrum,1900-01-01 17:27:29,1900-01-01 17:27:29,1900-01-01 17:27:29,1900-01-01 17:27:29,True,True,True,True
272,1900-01-01 08:36:20,Solna Centrum,Tekniska högskolan,1900-01-01 09:11:14,1900-01-01 09:09:45,1900-01-01 09:11:14,1900-01-01 09:11:14,True,True,True,True
273,1900-01-01 08:11:07,Solna Centrum,Tekniska högskolan,1900-01-01 08:51:36,1900-01-01 08:51:36,1900-01-01 08:51:36,1900-01-01 08:51:36,True,True,True,True
274,1900-01-01 17:35:04,Solna Centrum,Tekniska högskolan,1900-01-01 18:12:15,1900-01-01 18:10:01,1900-01-01 18:10:01,1900-01-01 18:10:01,True,True,True,True
275,1900-01-01 08:02:42,Fridhemsplan,Tekniska högskolan,1900-01-01 08:30:00,1900-01-01 08:30:00,1900-01-01 08:30:00,1900-01-01 08:30:00,True,True,True,True
276,1900-01-01 08:13:02,Solna Centrum,Globen,1900-01-01 08:58:00,1900-01-01 08:58:00,1900-01-01 08:58:00,1900-01-01 08:58:00,True,True,True,True
277,1900-01-01 16:03:40,Tekniska högskolan,Solna Centrum,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:37:45,1900-01-01 16:37:45,True,True,True,True
278,1900-01-01 16:08:54,Tekniska högskolan,Solna Centrum,1900-01-01 16:44:45,1900-01-01 16:44:45,1900-01-01 16:44:45,1900-01-01 16:44:45,True,True,True,True
279,1900-01-01 16:50:56,Tekniska högskolan,Solna Centrum,1900-01-01 17:27:29,1900-01-01 17:27:29,1900-01-01 17:27:29,1900-01-01 17:27:29,True,True,True,True
280,1900-01-01 16:29:48,Fridhemsplan,Tekniska högskolan,1900-01-01 17:00:07,1900-01-01 17:00:07,1900-01-01 17:00:07,1900-01-01 17:00:07,True,True,True,True
281,1900-01-01 08:55:47,Tekniska högskolan,Fridhemsplan,,,,,True,False,False,False
282,1900-01-01 17:26:59,Solna Centrum,Globen,1900-01-01 18:06:45,1900-01-01 18:06:45,1900-01-01 18:06:45,1900-01-01 18:06:45,True,True,True,True
283,1900-01-01 08:34:15,Tekniska högskolan,Solna Centrum,1900-01-01 09:04:05,1900-01-01 09:04:05,1900-01-01 09:04:05,1900-01-01 09:04:05,True,True,True,True
284,1900-01-01 16:18:27,Tekniska högskolan,Solna Centrum,1900-01-01 16:51:45,1900-01-01 16:51:45,1900-01-01 16:51:45,1900-01-01 16:51:45,True,True,True,True
285,1900-01-01 07:58:44,Fridhemsplan,Tekniska högskolan,1900-01-01 08:25:46,1900-01-01 08:25:46,1900-01-01 08:25:46,1900-01-01 08:28:56,True,True,True,True
