stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021001000543000,Gisslingö,59.772958,19.154527,1,,
9021001000544000,Arholma Nord,59.862004,19.123758,1,,
9021001000545000,Fejan,59.745546,19.163233,1,,
9021001000546000,Tjockö norra,59.755016,19.120737,1,,
9021001000550000,Nationalparken Ängsö,59.616401,18.761865,1,,
9021001000551000,Lågarö,59.774871,18.925533,1,,
9021001000552000,Gräddö,59.767775,19.032112,1,,
9021001000553000,Håknäs,59.780113,18.951595,1,,
9021001000554000,Norrtälje hamn,59.757867,18.711217,1,,
9021001000555000,Östernäs,59.702238,18.994080,1,,
9021001000556000,Bromskär,59.626157,18.988311,1,,
9021001000567000,Enskär,59.762175,19.133526,1,,
9021001000569000,Krokholmen,59.812253,19.109247,1,,
9021001000570000,Söderarm,59.751283,19.405010,1,,
9021001000601000,Nynäshamn,58.900794,17.952821,1,,
9021001000602000,Ankarudden,58.801237,17.835778,1,,
9021001000603000,Krokskär,58.786423,17.844539,1,,
9021001000604000,Landsort,58.744536,17.864540,1,,
9021001000702000,Tyresö,59.229753,18.360564,1,,
9021001000801000,Lervik,59.452153,18.384817,1,,
9021001000802000,Elgö,59.456134,18.404900,1,,
9021001000803000,Mjölkö,59.465148,18.418328,1,,
9021001000804000,Ekholmen,59.469809,18.420848,1,,
9021001000805000,Norra Betsö,59.470650,18.443912,1,,
9021001000806000,Seglarö,59.483106,18.467392,1,,
9021001000807000,Fåglarö,59.475513,18.464952,1,,
9021001000808000,Stora Timrarö,59.496801,18.484724,1,,
9021001000809000,Grundvik,59.460575,18.519715,1,,
9021001000810000,Linanäs,59.472578,18.511885,1,,
9021001000811000,Öran,59.481915,18.510276,1,,
9021001000812000,Laggarsvik,59.496129,18.523508,1,,
9021001000813000,Skuggan,59.496473,18.537721,1,,
9021001000814000,Väsbystrand,59.499349,18.550963,1,,
9021001000815000,Staveström,59.430335,18.578990,1,,
9021001000816000,Örsö,59.431891,18.586159,1,,
9021001000817000,Storängen,59.441324,18.584688,1,,
9021001000818000,Strömsholm,59.443895,18.588931,1,,
9021001000819000,Stensvik,59.448690,18.578301,1,,
